"company","market","country","city","area","website","linkedin","instagram","email","whatsapp","decision_maker","role","source_url","pain_signal","notes","stage","last_contacted","language"
"METROPOLITAN CAPITAL REAL ESTATE - SOLE PROPRIETORSHIP L.L.C.","dubai","UAE","Dubai","Al Maryah Island; Al Raha Beach; Al Reem Island; Al Shamkha; Khalifa City; Masdar City; Saadiyat Island; Yas Island","","","","hussam@abu-dhabi.realestate","+971522222147","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/metropolitan-capital-real-estate-sole-proprietorship-l-l-c-3301","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 17. Active properties proxy: 624. Languages: Albanian; Arabic; English; French; Italian; Romanian; Russian; Spanish; Turkish; Ukrainian. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"HONEST REAL ESTATE","dubai","UAE","Dubai","Al Alia; Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya","","","","mahmoudyassien2025@gmail.com","+971586083422","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/honest-real-estate-10564","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 9. Active properties proxy: 1114. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"AGCO PROPERTIES","dubai","UAE","Dubai","Arjan; Business Bay; Dubai Hills Estate; Dubai Land; Dubai Marina; Jumeirah Lake Towers; Jumeirah Village Circle; Mirdif; Mohammed Bin Rashid City","","","","Fouad@agcoproprties.com","+971568792325","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/agco-properties-4467","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 4. Active properties proxy: 261. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Smart Real Estate LLC","dubai","UAE","Dubai","Ajman Uptown; Al Alia; Al Nuaimiya; Al Rashidiya; Al Yasmeen","","","","idres.smart.ae@gmail.com","+971545473284","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/smart-real-estate-llc-9573","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 7. Active properties proxy: 552. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
"Sky Land real Estate","dubai","UAE","Dubai","Al Alia; Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya","","","","Ms0133285@gmail.com","+971526020381","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/sky-land-real-estate-12202","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 7. Active properties proxy: 558. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Blue Palace Real Estate","dubai","UAE","Dubai","Downtown Dubai; Dubai Harbour; Dubai Hills Estate; Dubai Land; Mohammed Bin Rashid City; Zabeel","","","","info@bluepalacere.com","+971502926262","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/blue-palace-real-estate-563","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 2. Active properties proxy: 255. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"AL MASAAR PROPERTIES","dubai","UAE","Dubai","Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya; Al Zorah","","","","s0527153705@gmail.com","+971527153705","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-masaar-properties-9635","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 7. Active properties proxy: 579. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","researched","","en"
"Luxven Real Estate","dubai","UAE","Dubai","Al Furjan; Arjan; Business Bay; Damac Hills 2; Damac Lagoons; Dubai Investment Park (DIP); Dubai Science Park; Dubai Sports City; Jumeirah Village Circle","","","","muhammad@luxvenrealestate.com","+971503984713","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/luxven-real-estate-7322","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 8. Active properties proxy: 218. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Awtan Real Estate LLC","dubai","UAE","Dubai","Ajman Downtown; Al Alia; Al Jurf Industrial; Al Nuaimiya; Al Rashidiya; Al Yasmeen; Muwaileh Commercial; Sharjah Industrial Area","","","","ibrahim@awtan.ae","+971565039050","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/awtan-real-estate-llc-7329","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 4. Active properties proxy: 234. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Mazaya FZE LLC","dubai","UAE","Dubai","Al Alia; Al Mowaihat; Al Rawda; Al Yasmeen; Al Zahya; Al Zorah; Muwaileh Commercial","","","","aboodomran306@gmail.com","+971527979819","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/mazaya-fze-llc-10008","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 5. Active properties proxy: 419. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"IMPERIAL HOMES PROPERTIES","dubai","UAE","Dubai","Ajman Downtown; Al Jurf Industrial; Al Mowaihat; Al Rashidiya; Al Yasmeen; Al Zahya; Emirates Modern Industrial; Umm Al Thuoob","","","","imperialhomsproperties@gmail.com","+971581181272","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/imperial-homes-properties-11248","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 6. Active properties proxy: 762. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"ELITE HOME REAL ESTATE L.L.C S.P","dubai","UAE","Dubai","Al Khan; Aljada; Sharjah Sustainable City; Tilal City","","","","fawzi.farouk@elitehomeuae.com","+971544445305","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/elite-home-real-estate-l-l-c-s-p-12339","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 4. Active properties proxy: 300. Languages: Arabic; English; Hindi; Urdu. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"ALH PROPERTIES","dubai","UAE","Dubai","Al Barsha; Arjan; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Land; Dubai Marina; Dubai South (Dubai World Central); Jumeirah Beach Residence; Jumeirah Village Circle; Motor City; Mudon; Palm Jumeirah; The Springs","","","","anthony.tsang@alhprops.com","+971585297704","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/alh-properties-3848","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 5. Active properties proxy: 711. Languages: Arabic; English; Polish. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Al Sahl Real Estate L.L.C SP","dubai","UAE","Dubai","Al Badie; Muwaileh Commercial; Sharjah Industrial Area; Tilal City","","","","sales32.alsahlrealestate@gmail.com","+971567767732","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/al-sahl-real-estate-l-l-c-sp-9611","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 3. Active properties proxy: 336. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"fam Real Estate Broker - Dubai Marina","dubai","UAE","Dubai","Al Furjan; Al Sufouh; Bur Dubai; Business Bay; City Walk; Downtown Dubai; Dubai Harbour; Dubai Production City (IMPZ); Jumeirah Lake Towers; Nad Al Sheba","","","","mishel@famproperties.com","+971569551551","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/fam-properties-branch-6-4198","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 4. Active properties proxy: 228. Languages: Arabic; English; French; Portuguese; Russian. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Trust Properties L.L.C","dubai","UAE","Dubai","Al Alia; Al Rashidiya; Al Yasmeen","","","","trust.properties.uae1@gmail.com","+971568940138","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/trust-properties-l-l-c-12881","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 3. Active properties proxy: 234. Languages: Arabic; English. Recommended channel: email + manual WhatsApp.","researched","","en"
"Sky View Real Estate Brokers","dubai","UAE","Dubai","Arjan; Business Bay; DIFC; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Design District; Dubai Hills Estate; Dubai Land; Jumeirah; Jumeirah Village Circle; Maritime City; Palm Jebel Ali","","","","bana@skyviewdubai.com","+971525534754","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/sky-view-real-estate-brokers-2416","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 5. Active properties proxy: 213. Languages: Arabic; English; French; Gujarati; Hindi; Italian; Punjabi. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Royal Manor Real Estate Broker","dubai","UAE","Dubai","Al Furjan; Al Marjan Island; Dubai Marina","","","","info@royalmanor.ae","+971585244900","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/royal-manor-real-estate-broker-5132","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 1. Active properties proxy: 327. Languages: English; German; Hindi. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"Savills Dubai","dubai","UAE","Dubai","Al Barari; Al Jaddaf; Business Bay; DIFC; Downtown Dubai; Dubai Harbour; Dubai Hills Estate; Emirates Hills; Jumeirah; Jumeirah Golf Estates; Jumeirah Village Triangle; Meydan; Mohammed Bin Rashid City; Palm Jebel Ali","","","","joana.anjos@savills.me","+971585962848","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/savills-dubai-149","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 10. Active properties proxy: 150. Languages: Arabic; Czech; English; Hindi; Persian/Farsi; Portuguese; Russian; Slovak; Spanish. Recommended channel: email + manual WhatsApp.","contacted","2026-05-06","en"
"The Network","dubai","UAE","Dubai","Arabian Ranches 2; Bluewaters; Business Bay; DAMAC Hills; Damac Lagoons; Dubai Harbour; Dubai Land; Dubai Marina; Dubai Sports City; Jumeirah Village Circle; Mohammed Bin Rashid City; Mudon; Palm Jumeirah; The Views","","","","george.h@thenetwork.ae","+971529250246","Broker team","Property Finder active brokerage","https://www.propertyfinder.ae/en/broker/the-network-6002","active listings, broker valuation consistency, seller lead capture","Property Finder harvest. Agents seen: 9. Active properties proxy: 153. Languages: Arabic; English; Punjabi; Russian; Ukrainian. Recommended channel: email + manual WhatsApp.","contacted","2026-05-07","en"
